UID;Paper ID;Title;Year.of.publication;Publication.venue.name;Publication.venue.type;Analysis.goal;Macro.analysis.goal;Paper.goal;Platform specific;Implementation;Static/Hybrid approach;Machine Learning;App artifact;Additional input;Analysis pre-steps;Analysis type;Stakeholder;Tool availability;# apps evaluated;Toy/Real apps;Industry involvement
174;86;MalScan: Fast Market-Wide Mobile Malware Scanning by Social-Network Centrality Analysis;2019;ASE;Conference;MALWARE;E;Q;A;A;S;1;APK;-;0;FLOW ANALYSIS;A;1;H;R;A
175;90;Automated API-Usage Update for Android Apps;2019;ISSTA;Conference;REFACTORING;I;Q;A;A;S;0;APK;Source code mappings;0;FLOW ANALYSIS;D;1;L;R;A
176;118S;Leila: formal tool for identifying mobile malicious behaviour;2018;TSE;Journal;MALWARE;E;Q;A;A;S;0;APK;Policies;1;MODEL CHECKING;A;0;M;R;A
177;122S;Re-checking App Behavior against App Description in the Context of Third-party Libraries;2018;SEKE;Conference;MALWARE;E;Q;A;A;S;1;APK;App store descriptions;1;DATA MINING, CLASSIFICATION;A;0;H;R;A
178;130S;VAnDroid: A framework for vulnerability analysis of Android applications using a model-driven reverse engineering technique;2019;SEIP;Journal;PRIVACY;E;Q;A;A;S;0;APK;-;0;MODEL BASED, TAINT ANALYSIS;A;0;M;R;A
179;134S;"AnFlo: Detecting Anomalous Sensitive Information Flows
in Android Apps";2018;MOBILESOFT;Conference;PRIVACY, MALWARE;E;Q;A;A;S;0;APK;-;1;TAINT ANALYSIS, DATA MINING, CLASSIFICATION;A, U;1;M;R;A
180;138S;"PaddyFrog: systematically detecting confused deputy
vulnerability in Android applications";2015;SCN;Journal;PRIVACY;E;Q;A;A;S;0;APK;-;0;FLOW ANALYSIS, DATA MINING;A;1;H;R;A
181;142S;"Dalvik Opcode Graph Based Android Malware
Variants Detection Using Global
Topology Features";2018;IEEEACCESS;Journal;MALWARE;E, M;Q, I;A;A;S;0;APK;-;1;OPCODE ANALYSIS;A;0;H;R;A
182;146S;Obfusifier: Obfuscation-resistant Android malware detection system;2019;ICSPCS;Conference;MALWARE;E;Q, I;A;A;S;1;APK;Methods of interest;1;FLOW ANALYSIS;A;0;H;R;A
183;150S;On automatically detecting similar Android apps;2016;ICPC;Conference;SIMILARITY;I;I;A;A;S;0;APK;-;0;DATA MINING;A, D, U;1;H;R;A
184;154S;Contextual policy enforcement in android applications with permission event graphs;2013;NDSS;Conference;PRIVACY;E;Q;A;A;S;0;APK;Policies;0;FLOW ANALYSIS, POINTS-TO ANALYSIS;A, U;0;M;R;A
185;158S;Toward a framework for detecting privacy policy violations in android application code;2016;ICSE;Conference;PRIVACY;E;Q;A;A;S;0;APK;Policies;1;FLOW ANALYSIS;D, A;1;H;R;A
186;162S;LUDroid: A large scale analysis of Android--Web hybridization;2019;SCAM;Conference;FRAMEWORK, PRIVACY;I;Q;A;A;S;0;APK;-;0;SLICING;D, A;0;H;R;A
187;177S;"COVERT: Compositional Analysis of Android
Inter-App Permission Leakage";2015;TSE;Journal;PRIVACY;E;Q;A;A;S;0;APK;-;0;FLOW ANALYSIS;A;1;M;R;A
188;185S;"Data-Driven Solutions to Detect API Compatibility
Issues in Android: An Empirical Study";2019;MSR;Conference;REFACTORING;I;I;A;A;S;0;APK;-;0;DATA MINING;D;1;H;R;A
189;189S;Harvesting Developer Credentials in Android Apps;2015;WiSec;Conference;PRIVACY;I;Q;A;A;S;0;APK;-;0;FLOW ANALYSIS;A;0;H;R;M
190;194S;Learning Performance Optimization from Code Changes for Android Apps;2019;MLST;Workshop;PERFORMANCE;E;Q;A;A;S;0;SOURCE CODE;Git-based code history;0;FLOW ANALYSIS;D;0;L;T;A
191;198S;Guided, Stochastic Model-Based GUI Testing of Android Apps;2017;ESEC/FSE;Conference;TESTING;I;I;A;A;H;0;APK;-;1;FLOW ANALYSIS;D;1;H;T, R;A
192;202S;Understanding the purpose of permission use in mobile apps;2017;TOIS;Journal;PRIVACY;E, M;Q, I;A;A;S;1;APK;-;0;DATA MINING;U;0;H;R;A
193;206S;Smv-hunter: Large scale, automated detection of ssl/tls man-in-the-middle vulnerabilities in android apps;2014;NDSS;Conference;PRIVACY;E, M;Q, I;A;A;H;0;APK;-;0;FLOW ANALYSIS;A;1;H;R;A
194;211S;Android HIV: A Study of Repackaging Malware for Evading Machine-Learning Detection;2019;TIFS;Journal;MALWARE;M;I;A;A;S;1;APK;-;0;FLOW ANALYSIS;A;0;H;R;A
195;215S;Lightweight, Obfuscation-Resilient Detection and Family Identification of Android Malware;2018;TOSEM;Journal;MALWARE;E, M;Q, I;A;A;S;1;APK;-;1;CLASSIFICATION;A;1;H;R;A
196;220S;Who changed you? Obfuscator identification for Android;2017;MOBILESOFT;Conference;OBFUSCATOR IDENTIFICATION;M;I;A;A;S;1;APK;-;1;CLASSIFICATION;A;0;H;T, R;A
197;41;Enhancing the description-to-behavior fidelity in android apps with privacy policy};2018;TSE;Journal;MALWARE;M;I;A;A;S;0;APK;App store descriptions, Policies;1;FLOW ANALYSIS, DATA MINING;A, D;1;L;R;A
198;49;Static window transition graphs for Android;2018;ASE;Journal;INTER-COMPONENT COMMUNICATION;E, I;Q;A;A;S;0;APK;-;1;FLOW ANALYSIS;A, D;1;L;R;A
199;53;An Efficient, Robust, and Scalable Approach for Analyzing Interacting Android Apps        ;2017;ICSE;Conference;TESTING, PRIVACY, INTER-APP COMMUNICATION;E, I;Q;A;A;H;0;APK;-;1;FLOW ANALYSIS, SYMBOLIC EXECUTION, POINTS-TO ANALYSIS;A, D;1;L;T;A
200;57;A Temporal Permission Analysis and Enforcement Framework for Android;2018;ICSE;Conference;PRIVACY;I;Q;A;A;H;0;APK;Other tools output;1;MODEL CHECKING;D;1;H;R;A
201;61;"GUILeak: Tracing Privacy Policy Claims on User Input Data
for Android Applications";2018;ICSE;Conference;PRIVACY;E;Q;A;A;S;0;APK;Policies;1;FLOW ANALYSIS;A, D;1;M;R;A
202;65;Towards understanding and reasoning about android interoperations;2019;ICSE;Conference;INTER-APP COMMUNICATION;I;Q;A;A;S;0;SOURCE CODE;-;1;TYPE INFERENCE;D;1;L;R;A
203;69;"OASIS: Prioritizing Static Analysis Warnings for Android Apps
Based on App User Reviews";2017;ESEC/FSE;Conference;INTER-COMPONENT COMMUNICATION;I;Q;A;A;S;0;APK;Platform description;1;FLOW ANALYSIS, SYMBOLIC EXECUTION;D;1;H;R;A
204;73;"ServDroid: Detecting Service Usage Inefficiencies in Android
Applications";2019;ESEC/FSE;Conference;PERFORMANCE;E;Q;A;A;S;0;APK;-;0;FLOW ANALYSIS;D;1;H;R;A
205;77;TDroid: Exposing App Switching Attacks in Android with Control Flow Specialization;2018;ASE;Conference;MALWARE, PRIVACY;E;Q;A;A;H;0;APK;Methods of interest;1;FLOW ANALYSIS;A, D;1;H;R;A
206;81;Characterizing and identifying misexposed activities in android applications;2018;ASE;Conference;INTER-COMPONENT COMMUNICATION, PRIVACY;E, I;Q;A;A;S;0;APK;-;0;FLOW ANALYSIS;A, D;1;H;R;A
207;85;"OAUTHLINT: An Empirical Study on OAuth Bugs
in Android Applications";2019;ASE;Conference;PRIVACY;E;Q;A;A;S;0;APK, SOURCE CODE;Policies;1;TAINT ANALYSIS, POINTS-TO ANALYSIS;A, D;0;M;R;A
208;89;"Remove RATs from Your Code: Automated Optimization of
Resource Inefficient Database Writes for Mobile Applications";2018;ISSTA;Conference;PERFORMANCE, ENERGY;E;Q;A;A;S;0;APK;-;0;FLOW ANALYSIS;D;1;H;R;A
209;117S;Systematic detection of capability leaks in stock Android smartphones;2012;NDSS;Conference;PRIVACY;E, I;Q;A;A;S;0;APK;Platform description;0;FLOW ANALYSIS;D;1;L;R;A
210;121S;Understanding the inconsistencies between text descriptions and the use of privacy-sensitive resources of mobile apps;2015;SOUPS;Conference;PRIVACY;E;Q;A;A;S;0;APK;App store descriptions;0;FLOW ANALYSIS;A, D;1;H;R;A
211;129S;"Refactoring Android Java Code for On-Demand
Computation Offloading";2012;SIGPLAN;Journal;REFACTORING;I;I;A;A;S;0;APK;-;0;FLOW ANALYSIS;D;1;L;T;A
212;133S;Jitana: A modern hybrid program analysis framework for android platforms;2019;JCL;Journal;PRIVACY, MALWARE, INTER-APP COMMUNICATION;E, I;Q, I;A;A;H;0;APK;-;0;FLOW ANALYSIS, SYMBOLIC EXECUTION, POINTS-TO ANALYSIS;A, D;1;H;R;A
213;137S;DroidAlarm: an all-sided static analysis tool for Android privilege-escalation malware;2013;SICCS;Conference;MALWARE;E;Q;A;A;S;0;APK;-;0;FLOW ANALYSIS;D;1;L;R;A
214;141S;Tackling runtime-based obfuscation in Android with TIRO;2018;USENIX;Conference;MALWARE;E;Q;A;A;H;0;APK;-;0;FLOW ANALYSIS;D;1;L;R;A
215;145S;Grandroid: Graph-based detection of malicious network behaviors in android applications;2018;ICSPCS;Conference;MALWARE;E, I;Q, I;A;A;H;1;APK;Test cases;1;FLOW ANALYSIS, SYMBOLIC EXECUTION, POINTS-TO ANALYSIS;D;1;H;R;A
216;149S;ViewDroid: Towards obfuscation-resilient mobile application repackaging detection;2014;WiSec;Conference;MALWARE;E;Q;A;A;S;0;APK;-;1;FLOW ANALYSIS;D;1;H;R;A
217;157S;Towards automatic generation of security-centric descriptions for android apps;2015;CCCS;Conference;PRIVACY;E, I;Q;A;A;S;0;APK;-;0;FLOW ANALYSIS, DATA MINING;A, D, U;1;L;R;A
218;161S;DeepIntent: Deep icon-behavior learning for detecting intention-behavior discrepancy in mobile apps;2019;CCCS;Conference;PRIVACY, MALWARE;E, I;Q;A;A;S;1;APK;UI elements, Permissions of interest;0;FLOW ANALYSIS, DATA MINING;A, D;1;H;R;A
219;165S;SENTINEL: generating GUI tests for sensor leaks in Android and Android wear apps;2019;SQJ;Journal;TESTING, ENERGY;E, I;Q;A;A;S;0;APK;-;0;FLOW ANALYSIS;D;1;H;R;A
220;169S;"LESDroid - A Tool for Detecting Exported Service Leaks of
Android Applications";2018;ICPC;Conference;PRIVACY, TESTING, PERFORMANCE, ENERGY;I;Q;A;A;H;0;APK;-;0;FLOW ANALYSIS;D;1;H;R;A
221;175S;"Static detection of
energy defect patterns in Android applications";2016;ICCC;Conference;ENERGY;E;Q, I;A;A;S;0;APK;-;0;FLOW ANALYSIS;D;1;L;R;A
222;184S;Wechecker: efficient and precise detection of privilege escalation vulnerabilities in android apps;2015;WiSec;Conference;PRIVACY;E, I;Q, I;A;A;S;0;APK;-;0;TAINT ANALYSIS, FLOW ANALYSIS;D;0;H;R;A
223;188S;"Launch-Mode-Aware Context-Sensitive Activity Transition
Analysis";2018;ICSE;Conference;INTER-COMPONENT COMMUNICATION;I;I;A;A;S;0;APK;-;1;POINTS-TO ANALYSIS;D;1;L;R;A
224;192S;"SIG-Droid: Automated System Input Generation for
Android Applications";2015;ISSRE;Conference;TESTING;I, M;I;A;A;S;0;APK, SOURCE CODE;-;1;FLOW ANALYSIS, SYMBOLIC EXECUTION;D;0;L;R;A
225;197S;Reducing Combinatorics in GUI Testing of Android Applications;2016;ICSE;Conference;TESTING;I, M;I;A;A;S;0;APK, SOURCE CODE;-;1;FLOW ANALYSIS;D;1;L;R;A
226;201S;"Detection of Design Flaws in the Android
Permission Protocol Through Bounded Verification";2015;ISFM;Conference;PRIVACY;I;Q;G;A;S;0;APK;-;0;FLOW ANALYSIS;D;0;M;R;A
227;205S;Reliable third-party library detection in android and its security applications;2016;CCCS;Conference;PRIVACY;I;Q;A;A;S;0;APK;Libraries metadata;1;SIMILARITY-BASED;D;1;H;R;A
228;210S;"IntelliDroid: A Targeted Input Generator for the
Dynamic Analysis of Android Malware";2016;NDSS;Conference;MALWARE;I;I;A;A;H;0;APK;Methods of interest;1;FLOW ANALYSIS, TAINT ANALYSIS;D;1;L;R;A
229;214S;"EnMobile: Entity-based Characterization and Analysis of Mobile
Malware";2018;ICSE;Conference;MALWARE;E;Q;A;A;S;0;APK;-;1;FLOW ANALYSIS;A, D, U;1;H;R;A
230;219S;Ordol: Obfuscation-Resilient Detection of Libraries in Android Applications;2017;TrustCom;Conference;LIBRARY IDENTIFICATION;I, M;I;A;A;S;0;APK;Libraries metadata;1;SIMILARITY-BASED, FLOW ANALYSIS;D;1;L;R;A
231;40;Towards model checking android applications;2018;TSE;Journal;PRIVACY;I;Q;A;A;H;0;APK;-;0;SLICING, MODEL CHECKING;D, A;0;M;T, R;A
232;44;Security code smells in Android ICC;2019;ESEJ;Journal;PRIVACY;I;Q;A;A;S;0;APK, SOURCE CODE;-;0;PATTERN-BASED CONTEXTUAL ANALYSIS;D, A;1;M;R;A
233;48;Characterizing malicious Android apps by mining topic-specific data flow signatures;2017;IST;Journal;MALWARE;E;Q;A;A;S;0;APK;App store descriptions;1;FLOW ANALYSIS;A;1;M;R;A
234;56;"Making Malory Behave Maliciously: Targeted
Fuzzing of Android Execution Environments";2017;ICSE;Conference;MALWARE;E;I;A;A;H;0;APK;Methods of interest;1;FLOW ANALYSIS, SYMBOLIC EXECUTION;A;1;M;R;M
235;60;DroidStar: Callback Typestates for Android Classes;2018;ICSE;Conference;INTER-COMPONENT COMMUNICATION;I;I;A;A;H;1;APK;Code snippets;1;FLOW ANALYSIS, CLASSIFICATION;D;1;L;T;M
236;64;"PIVOT: Learning API-Device Correlations to
Facilitate Android Compatibility Issue Detection";2019;ICSE;Conference;INTER-APP COMMUNICATION, REFACTORING;E;I;A;A;S;1;APK;-;0;FLOW ANALYSIS, CLASSIFICATION;D;1;H;R;A
237;68;"Automatic Generation of Inter-Component Communication
Exploits for Android Applications";2017;ESEC/FSE;Conference;PRIVACY;E;Q;A;A;S;0;APK;-;1;SYMBOLIC EXECUTION;A;0;H;R;A
238;72;Neural-augmented static analysis of Android communication;2018;ESEC/FSE;Conference;INTER-COMPONENT COMMUNICATION;I;I;A;A;S;1;APK;-;0;CLASSIFICATION;D;0;H;R;M
239;76;"Understanding and Detecting Evolution-Induced Compatibility
Issues in Android Apps";2018;ASE;Conference;REFACTORING;I;I;A;A;S;0;APK;Platform description;0;FLOW ANALYSIS;D;0;H;R;A
240;84;Goal-Driven Exploration for Android Applications;2019;ASE;Conference;REFACTORING;I;I;A;A;H;0;APK;Source code mappings;0;FLOW ANALYSIS;D;1;M;R;A
241;88;CiD: Automating the Detection of API-related Compatibility Issues in Android Apps;2018;ISSTA;Conference;REFACTORING;I;I;A;A;S;0;APK;Platform description;0;DATA MINING, FLOW ANALYSIS;D;0;H;R;A
242;92;QADroid: Regression Event Selection for Android Applications;2019;ISSTA;Conference;TESTING;I;I;A;A;S;0;APK;APK versions;0;FLOW ANALYSIS;D;1;L;R;A
243;120S;Automated analysis of privacy requirements for mobile app;2017;NDSS;Conference;PRIVACY;E;Q;A;A;S;1;APK;-;0;FLOW ANALYSIS;A;0;H;R;A
244;124S;apk2vec: Semi-supervised multi-view representation learning for profiling Android applications;2018;ICDM;Conference;REFACTORING;I;I;A;A;S;0;APK;-;0;FLOW ANALYSIS;A;0;H;R;A
245;128S;"Collusive Data Leak and More: Large-scale Threat
Analysis of Inter-app Communications";2017;AsiaCCS;Conference;PRIVACY, INTER-APP COMMUNICATION, INTER-COMPONENT COMMUNICATION;I;Q;A;A;S;0;APK;-;0;FLOW ANALYSIS;D, A;1;H;R;A
246;132S;"Efficient, Evolutionary Security Analysis of
Interacting Android Apps";2018;ICSME;Conference;PRIVACY;E;Q;A;A;S;0;APK;-;0;MODEL BASED, FORMAL ANALYSIS;D, A;1;M;R;A
247;136S;Detecting Passive Content Leaks and Pollution in Android Applications;2013;NDSS;Conference;PRIVACY;E;I;A;A;S;0;APK;-;0;FLOW ANALYSIS, DATA MINING;A;0;H;R;A
248;140S;Dapasa: detecting android piggybacked apps through sensitive subgraph analysis;2017;TIFS;Journal;MALWARE;E;I;A;A;S;1;APK;-;0;FLOW ANALYSIS;A;0;H;R;A
249;148S;Orlis: Obfuscation-resilient library detection for Android;2018;MOBILESOFT;Conference;INTER-APP COMMUNICATION, INTER-COMPONENT COMMUNICATION;M;I;A;A;S;0;APK;Libraries metadata;0;DATA MINING, SIMILARITY-BASED;D, A;1;M;R;A
250;152S;Juxtapp: A scalable system for detecting code reuse among android applications;2012;DIMVA;Conference;PRIVACY;E, M;I;A;A;S;0;APK;-;1;DATA MINING, SIMILARITY-BASED;A;0;H;R;M
251;156S;A new android malware detection approach using bayesian classification;2013;AINA;Conference;MALWARE, PRIVACY;E;Q;A;A;S;1;APK;-;1;CLASSIFICATION;A;0;H;T, R;M
252;160S;"Towards a Scalable Resource-driven Approach for
Detecting Repackaged Android Applications";2014;ACSAC;Conference;MALWARE;E;I;G;A;S;0;APK;-;0;SIMILARITY-BASED;A;0;H;R;A
253;168S;Efficiently Manifesting Asynchronous Programming Errors in Android Apps;2018;ASE;Conference;TESTING, REFACTORING;M, I;I;A;A;H;0;APK;Issue reports;0;FLOW ANALYSIS;D;0;L;R;A
254;173S;"Automatically Discovering, Reporting and
Reproducing Android Application Crashes";2016;ICST;Conference;TESTING, REFACTORING;M, I;I;A;A;H;0;APK;-;1;FLOW ANALYSIS;D;0;L;R;A
255;183S;HornDroid: Practical and Sound Static Analysis of Android Applications by SMT Solving;2016;EUROSP;Conference;PRIVACY;M, I;I;A;A;S;0;APK;-;0;ABSTRACT INTERPRETATION;D;0;L;T, R;A
256;187S;"Android Multitasking Mechanism: Formal
Semantics and Static Analysis of Apps";2019;ASPLS;Conference;REFACTORING;M;I;A;A;S;0;APK;-;0;ABSTRACT INTERPRETATION, FLOW ANALYSIS;D;0;H;R;A
257;200S;Privacy Leakage through Exploitation of Vulnerable Inter-App Communication on Android;2019;ICOSST;Conference;PRIVACY, INTER-APP COMMUNICATION;E;Q;A;A;S;0;APK;Permissions of interest;0;DATA MINING;A;0;L;R;A
258;204S;Revisiting the impact of common libraries for android-related investigations;2019;JSS;Journal;MALWARE, REFACTORING;M, E;I;A;A;S;1;APK;-;0;SIMILARITY-BASED;D, A;1;H;R;A
259;208S;Authorship attribution of Android apps;2018;DASP;Conference;AUTHORSHIP, MALWARE;I;I;A;A;S;1;APK;-;1;CLASSIFICATION;D;0;H;T, R;A
260;213S;Improving accuracy of Android malware detection with lightweight contextual awareness;2018;ACSAC;Conference;MALWARE;E;I;A;A;S;1;APK;-;1;FLOW ANALYSIS, CLASSIFICATION;A;0;H;R;A
261;217S;"Characterizing and Detecting Inefficient Image
Displaying Issues in Android Apps";2019;SANER;Conference;PERFORMANCE;M, I;I;A;A;S;0;APK;-;1;FLOW ANALYSIS, DATA MINING;D;0;M;R;A